apt_id,apt_name,apt_zipcode,apt_address,apt_address_detail,apt_admin_url,apt_homepage_url,apt_household_number,apt_inhabitant_status,apt_inhabitant_dt,apt_addr_code,apt_payment_due_date,apt_service_stop_yn,apt_service_stop_reason,apt_service_stop_id,apt_service_stop_dt,regist_dt,regist_id,update_dt,update_id,apt_join_start_dt,apt_join_start_yn,apt_sap_id
APT0000001681,잠실 HDC 아파트,,"서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길 ,서울시 송파구 234길                 ",,,,697,C000014001,2019-10-01 00:00:00.000000,C015001001,3,S,테스트용 서비스입니다. ,MBR0000000000,2020-11-20 23:01:57.453545,2019-10-23 17:28:57.531549,MBR0000000000,2020-11-20 23:01:57.453545,MBR0000000000,,N,
APT0000092369,별내역 아이파크 스위트,12113,경기도 남양주시 별내중앙로 10         ,,,,1100,C000014001,2021-02-28 00:00:00.000000,C015002007,1,N,,MBR0000000000,2021-02-03 11:08:27.463505,2021-01-20 08:45:17.105865,MBR0000000000,2021-06-18 15:22:27.783439,MBR0000000000,,N,C026
APT0000007902,목동센트럴아이파크위브,08066,신월동 551번지 일대                         ,,,,3045,C000014001,2020-03-31 00:00:00.000000,C015001003,3,N,,MBR0000000000,2020-02-14 17:11:49.359985,2020-02-12 16:38:52.685790,MBR0000000000,2021-04-29 17:42:32.382275,MBR0000000000,,N,D010
APT0000006347,청주가경 아이파크 2단지,,충청북도 청주시 가경동 323           ,,,,664,C000014001,2020-02-20 00:00:00.000000,C005003001,3,N,,MBR0000000000,2020-01-21 15:51:45.530653,2020-01-20 10:31:00.367069,MBR0000000000,2021-04-29 17:42:55.301968,MBR0000000000,,N,B018
APT0000070522,동남 힐데스하임,,충청북도 청주시 상당구 용암동 2944-103        ,,,,910,C000014001,2020-09-25 00:00:00.000000,C005003001,3,N,,MBR0000000000,2020-08-11 09:00:03.662053,2020-08-04 17:33:55.985549,MBR0000000000,2020-12-03 14:51:15.507654,MBR0000000000,,N,
APT0000007914,HDC현대산업개발,,서울특별시 용산구 한강대로23길 55   ,,,,3045,C000014001,2020-10-01 00:00:00.000000,C015001004,3,N,,MBR0000000000,2020-09-03 13:34:52.665917,2020-02-12 16:38:59.157711,MBR0000000000,2020-09-03 13:36:39.000496,MBR0000000000,,N,
APT0000002590,동탄 호수공원 아이파크,18506,경기도 화성시 장지동 산120-58   ,,,,774,C000014001,2019-09-30 00:00:00.000000,C015002002,3,N,,,,2019-11-12 13:49:29.994852,MBR0000000000,2021-04-29 17:43:06.736954,MBR0000000000,,N,H003
APT0000000000,모두의 아파트,1,1,1,1,1,1,선택,2019-10-01 00:00:00.000000,C015001001,1,N,,,,2019-07-30 14:59:45.097000,MBR0000000000,2019-08-14 11:40:01.758000,MBR0000000000,,N,
APT0000007926,목동센트럴아이파크위브3,,신월동 55번지일대              ,,,,3045,C000014001,2020-10-01 00:00:00.000000,C015001003,3,S,test,MBR0000000000,2020-02-12 16:42:33.542882,2020-02-12 16:41:43.402399,MBR0000000000,2020-02-14 15:43:24.313385,MBR0000000000,,N,
APT0000018255,목동 센트럴 아이파크 위브 4단지,,충청북도 청주시 흥덕구 서현로 62   ,,,,983,C000014001,2020-10-01 00:00:00.000000,C005003001,1,S,테스트,MBR0000000000,2021-04-13 15:25:40.207742,2020-02-13 09:06:07.563834,MBR0000000000,2021-04-13 15:52:44.967279,MBR0000000000,,N,
APT0000079481,캐슬앤파밀리에시티1단지,,고촌읍 인향로 92-111         ,,,,2255,C000014001,2020-11-30 00:00:00.000000,C015002005,3,N,,MBR0000000000,2020-10-23 17:23:55.544973,2020-10-22 10:56:53.793327,MBR0000000000,2021-04-22 09:00:18.197182,MBR0000000000,,N,
APT0000084660,꿈의숲 아이파크,,서울시 성북구 장위동 189-3    ,,,,1711,C000014001,2020-12-31 00:00:00.000000,C015001005,3,N,,MBR0000000000,2020-11-20 16:12:34.264469,2020-11-17 14:40:43.435140,MBR0000000000,2021-04-29 17:41:52.129736,MBR0000000000,,N,D021
APT0000055389,운정신도시 아이파크,,경기도 파주시 교하읍 동패동 파주운정택지개발지구 내 A26블록       ,,,,3042,C000014001,2020-07-31 00:00:00.000000,C015002004,3,N,,MBR0000000000,2020-06-19 18:28:29.816148,2020-06-17 17:29:33.935428,MBR0000000000,2021-04-29 17:42:05.445629,MBR0000000000,,N,C025
APT0000076863,알 수 없는 아파트,10136,고촌읍 태리 김포신곡6지구 도시개발사업구역 A1블록 ,,,,2255,C000014001,2020-10-10 00:00:00.000000,C015002001,3,S,,MBR0000000000,2020-10-12 10:49:20.607943,2020-10-12 10:36:38.479394,MBR0000000000,2020-10-22 14:06:47.890294,MBR0000000000,,N,
APT0000114912,포항 아이파크,,경북 포항시 남구 오천읍 용산리 360-13    ,,,,1144,C000014001,,C005005001,2,S,sap id 오류,MBR0000000000,2021-07-02 13:40:44.924654,2021-07-01 13:57:58.904952,MBR0000000000,2021-07-02 13:40:44.924654,MBR0000000000,,N,C032
APT0000094182,병점역 아이파크 캐슬,18367,경기도 화성시 병점노을로 31 일원  ,,,,2666,C000014001,2021-03-31 00:00:00.000000,C015002002,1,N,,MBR0000000000,2021-02-19 17:33:22.273238,2021-02-02 08:57:10.427812,MBR0000000000,2021-04-29 17:41:12.490385,MBR0000000000,,N,C036
APT0000102074,대구 복현 아이파크,,대구 북구 복현동 201-3       ,,,,585,C000014001,2021-03-31 00:00:00.000000,C005004001,1,N,,MBR0000000000,2021-03-10 14:48:55.680976,2021-03-03 14:20:55.135401,MBR0000000000,2021-04-29 17:41:21.830925,MBR0000000000,,N,D026
APT0000089360,일산2차 아이파크,,일산동구 중산로 60            ,,,,214,C000014001,2019-09-30 00:00:00.000000,C015002006,2,N,,MBR0000000000,2021-02-25 16:35:15.014189,2020-12-23 14:03:47.296000,MBR0000000000,2021-04-29 17:41:32.629021,MBR0000000000,,N,C024
APT0000043153,산성역 포레스티아,13260,경기도 성남시 수정구 수정로 319                    ,,,,4089,C000014001,2020-07-31 00:00:00.000000,C015002003,3,N,,MBR0000000000,2020-05-28 17:15:35.784025,2020-05-25 15:47:58.837564,MBR0000000000,2021-04-29 17:42:17.858862,MBR0000000000,,N,D018
APT0000000921,잠실 올림픽공원 아이파크,,"풍납동 288-7, 389 2필지 ,풍납동 288-7, 389 2필지 ,풍납동 288-7, 389 2필지 ,풍납동 288-7, 389 2필지       ",,,,697,C000014001,2019-11-16 00:00:00.000000,C015001001,3,N,,,,2019-10-22 19:55:23.065989,MBR0000000000,2021-04-29 17:43:22.643048,MBR0000000000,,N,D012
APT0000109911,청주가경 아이파크 3단지,,충청북도 청주시 흥덕구 서현로 62       ,,,,983,C000014001,,C005003001,1,N,,MBR0000000000,2021-04-15 19:01:05.457779,2021-04-13 15:29:33.110993,MBR0000000000,2021-06-22 08:48:18.498796,MBR0000000000,,N,C031
APT0000114909,포항항 아이파크,,경북 포항시 남구 오천읍 용산리 360-13,,,,1144,C000014001,,,2,N,,,,2021-07-01 13:55:36.583891,MBR0000000000,2021-07-01 13:55:36.583891,MBR0000000000,,N,8
